Infinitivo,Übersetzung,pronome pessoal,Tempo,Modo,Konjugation
ser algo,etwas sein,eu,Presente,Indicativo,sou
ser algo,etwas sein,ele/ela/você,Presente,Indicativo,é
ser algo,etwas sein,nós,Presente,Indicativo,somos
ser algo,etwas sein,eles/elas/vocês,Presente,Indicativo,são
ser algo,etwas sein,eu,Pretérito Perfeito,Indicativo,fui
ser algo,etwas sein,ele/ela/você,Pretérito Perfeito,Indicativo,foi
ser algo,etwas sein,nós,Pretérito Perfeito,Indicativo,fomos
ser algo,etwas sein,eles/elas/vocês,Pretérito Perfeito,Indicativo,foram
ser algo,etwas sein,eu,Pretérito Imperfeito,Indicativo,era
ser algo,etwas sein,ele/ela/você,Pretérito Imperfeito,Indicativo,era
ser algo,etwas sein,nós,Pretérito Imperfeito,Indicativo,éramos
ser algo,etwas sein,eles/elas/vocês,Pretérito Imperfeito,Indicativo,eram
ser algo,etwas sein,eu,Pretérito Mais-que-Perfeito,Indicativo,fora
ser algo,etwas sein,ele/ela/você,Pretérito Mais-que-Perfeito,Indicativo,fora
ser algo,etwas sein,nós,Pretérito Mais-que-Perfeito,Indicativo,fôramos
ser algo,etwas sein,eles/elas/vocês,Pretérito Mais-que-Perfeito,Indicativo,foram
ser algo,etwas sein,eu,Pretérito Perfeito Composto,Indicativo,tenho sido
ser algo,etwas sein,ele/ela/você,Pretérito Perfeito Composto,Indicativo,tem sido
ser algo,etwas sein,nós,Pretérito Perfeito Composto,Indicativo,temos sido
ser algo,etwas sein,eles/elas/vocês,Pretérito Perfeito Composto,Indicativo,têm sido
ser algo,etwas sein,eu,Pretérito Mais-que-Perfeito Composto,Indicativo,tinha sido
ser algo,etwas sein,ele/ela/você,Pretérito Mais-que-Perfeito Composto,Indicativo,tinha sido
ser algo,etwas sein,nós,Pretérito Mais-que-Perfeito Composto,Indicativo,tínhamos sido
ser algo,etwas sein,eles/elas/vocês,Pretérito Mais-que-Perfeito Composto,Indicativo,tinham sido
ser algo,etwas sein,eu,Pretérito Mais-que-Perfeito Anterior,Indicativo,tivera sido
ser algo,etwas sein,ele/ela/você,Pretérito Mais-que-Perfeito Anterior,Indicativo,tivera sido
ser algo,etwas sein,nós,Pretérito Mais-que-Perfeito Anterior,Indicativo,tivéramos sido
ser algo,etwas sein,eles/elas/vocês,Pretérito Mais-que-Perfeito Anterior,Indicativo,tiveram sido
ser algo,etwas sein,eu,Futuro do Presente Simples,Indicativo,serei
ser algo,etwas sein,ele/ela/você,Futuro do Presente Simples,Indicativo,será
ser algo,etwas sein,nós,Futuro do Presente Simples,Indicativo,seremos
ser algo,etwas sein,eles/elas/vocês,Futuro do Presente Simples,Indicativo,serão
ser algo,etwas sein,eu,Futuro do Presente Composto,Indicativo,terei sido
ser algo,etwas sein,ele/ela/você,Futuro do Presente Composto,Indicativo,terá sido
ser algo,etwas sein,nós,Futuro do Presente Composto,Indicativo,teremos sido
ser algo,etwas sein,eles/elas/vocês,Futuro do Presente Composto,Indicativo,terão sido
ser algo,etwas sein,eu,Presente,Conjuntivo / Subjuntivo,seja
ser algo,etwas sein,ele/ela/você,Presente,Conjuntivo / Subjuntivo,seja
ser algo,etwas sein,nós,Presente,Conjuntivo / Subjuntivo,sejamos
ser algo,etwas sein,eles/elas/vocês,Presente,Conjuntivo / Subjuntivo,sejam
ser algo,etwas sein,eu,Pretérito Perfeito,Conjuntivo / Subjuntivo,tenha sido
ser algo,etwas sein,ele/ela/você,Pretérito Perfeito,Conjuntivo / Subjuntivo,tenha sido
ser algo,etwas sein,nós,Pretérito Perfeito,Conjuntivo / Subjuntivo,tenhamos sido
ser algo,etwas sein,eles/elas/vocês,Pretérito Perfeito,Conjuntivo / Subjuntivo,tenham sido
ser algo,etwas sein,eu,Pretérito Imperfeito,Conjuntivo / Subjuntivo,fosse
ser algo,etwas sein,ele/ela/você,Pretérito Imperfeito,Conjuntivo / Subjuntivo,fosse
ser algo,etwas sein,nós,Pretérito Imperfeito,Conjuntivo / Subjuntivo,fôssemos
ser algo,etwas sein,eles/elas/vocês,Pretérito Imperfeito,Conjuntivo / Subjuntivo,fossem
ser algo,etwas sein,eu,Pretérito Mais-que-Perfeito Composto,Conjuntivo / Subjuntivo,tivesse sido
ser algo,etwas sein,ele/ela/você,Pretérito Mais-que-Perfeito Composto,Conjuntivo / Subjuntivo,tivesse sido
ser algo,etwas sein,nós,Pretérito Mais-que-Perfeito Composto,Conjuntivo / Subjuntivo,tivéssemos sido
ser algo,etwas sein,eles/elas/vocês,Pretérito Mais-que-Perfeito Composto,Conjuntivo / Subjuntivo,tivessem sido
ser algo,etwas sein,eu,Futuro,Conjuntivo / Subjuntivo,for
ser algo,etwas sein,ele/ela/você,Futuro,Conjuntivo / Subjuntivo,for
ser algo,etwas sein,nós,Futuro,Conjuntivo / Subjuntivo,formos
ser algo,etwas sein,eles/elas/vocês,Futuro,Conjuntivo / Subjuntivo,forem
ser algo,etwas sein,eu,Futuro Composto,Conjuntivo / Subjuntivo,tiver sido
ser algo,etwas sein,ele/ela/você,Futuro Composto,Conjuntivo / Subjuntivo,tiver sido
ser algo,etwas sein,nós,Futuro Composto,Conjuntivo / Subjuntivo,tivermos sido
ser algo,etwas sein,eles/elas/vocês,Futuro Composto,Conjuntivo / Subjuntivo,tiverem sido
ser algo,etwas sein,eu,Futuro do Pretérito Simples,Condicional,seria
ser algo,etwas sein,ele/ela/você,Futuro do Pretérito Simples,Condicional,seria
ser algo,etwas sein,nós,Futuro do Pretérito Simples,Condicional,seríamos
ser algo,etwas sein,eles/elas/vocês,Futuro do Pretérito Simples,Condicional,seriam
ser algo,etwas sein,eu,Futuro do Pretérito Composto,Condicional,teria sido
ser algo,etwas sein,ele/ela/você,Futuro do Pretérito Composto,Condicional,teria sido
ser algo,etwas sein,nós,Futuro do Pretérito Composto,Condicional,teríamos sido
ser algo,etwas sein,eles/elas/vocês,Futuro do Pretérito Composto,Condicional,teriam sido
