Personalpronomen,Modo,Tempo,Konjugation
eu,Indicativo,Presente,sou
ele/ela/você,Indicativo,Presente,é
nós,Indicativo,Presente,somos
eles/elas/vocês,Indicativo,Presente,são
eu,Indicativo,Pretérito Perfeito,fui
ele/ela/você,Indicativo,Pretérito Perfeito,foi
nós,Indicativo,Pretérito Perfeito,fomos
eles/elas/vocês,Indicativo,Pretérito Perfeito,foram
eu,Indicativo,Pretérito Imperfeito,era
ele/ela/você,Indicativo,Pretérito Imperfeito,era
nós,Indicativo,Pretérito Imperfeito,éramos
eles/elas/vocês,Indicativo,Pretérito Imperfeito,eram
eu,Indicativo,Pretérito Mais-que-Perfeito,fora
ele/ela/você,Indicativo,Pretérito Mais-que-Perfeito,fora
nós,Indicativo,Pretérito Mais-que-Perfeito,fôramos
eles/elas/vocês,Indicativo,Pretérito Mais-que-Perfeito,foram
eu,Indicativo,Pretérito Perfeito Composto,tenho sido
ele/ela/você,Indicativo,Pretérito Perfeito Composto,tem sido
nós,Indicativo,Pretérito Perfeito Composto,temos sido
eles/elas/vocês,Indicativo,Pretérito Perfeito Composto,têm sido
eu,Indicativo,Pretérito Mais-que-Perfeito Composto,tinha sido
ele/ela/você,Indicativo,Pretérito Mais-que-Perfeito Composto,tinha sido
nós,Indicativo,Pretérito Mais-que-Perfeito Composto,tínhamos sido
eles/elas/vocês,Indicativo,Pretérito Mais-que-Perfeito Composto,tinham sido
eu,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivera sido
ele/ela/você,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivera sido
nós,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivéramos sido
eles/elas/vocês,Indicativo,Pretérito Mais-que-Perfeito Anterior,tiveram sido
eu,Indicativo,Futuro do Presente Simples,serei
ele/ela/você,Indicativo,Futuro do Presente Simples,será
nós,Indicativo,Futuro do Presente Simples,seremos
eles/elas/vocês,Indicativo,Futuro do Presente Simples,serão
eu,Indicativo,Futuro do Presente Composto,terei sido
ele/ela/você,Indicativo,Futuro do Presente Composto,terá sido
nós,Indicativo,Futuro do Presente Composto,teremos sido
eles/elas/vocês,Indicativo,Futuro do Presente Composto,terão sido
eu,Conjuntivo / Subjuntivo,Presente,seja
ele/ela/você,Conjuntivo / Subjuntivo,Presente,seja
nós,Conjuntivo / Subjuntivo,Presente,sejamos
eles/elas/vocês,Conjuntivo / Subjuntivo,Presente,sejam
eu,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenha sido
ele/ela/você,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenha sido
nós,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenhamos sido
eles/elas/vocês,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenham sido
eu,Conjuntivo / Subjuntivo,Pretérito Imperfeito,fosse
ele/ela/você,Conjuntivo / Subjuntivo,Pretérito Imperfeito,fosse
nós,Conjuntivo / Subjuntivo,Pretérito Imperfeito,fôssemos
eles/elas/vocês,Conjuntivo / Subjuntivo,Pretérito Imperfeito,fossem
eu,Conjuntivo / Subjuntivo,Pretérito Mais-que-Perfeito Composto,tivesse sido
ele/ela/você,Conjuntivo / Subjuntivo,Pretérito Mais-que-Perfeito Composto,tivesse sido
nós,Conjuntivo / Subjuntivo,Pretérito Mais-que-Perfeito Composto,tivéssemos sido
eles/elas/vocês,Conjuntivo / Subjuntivo,Pretérito Mais-que-Perfeito Composto,tivessem sido
eu,Conjuntivo / Subjuntivo,Futuro,for
ele/ela/você,Conjuntivo / Subjuntivo,Futuro,for
nós,Conjuntivo / Subjuntivo,Futuro,formos
eles/elas/vocês,Conjuntivo / Subjuntivo,Futuro,forem
eu,Conjuntivo / Subjuntivo,Futuro Composto,tiver sido
ele/ela/você,Conjuntivo / Subjuntivo,Futuro Composto,tiver sido
nós,Conjuntivo / Subjuntivo,Futuro Composto,tivermos sido
eles/elas/vocês,Conjuntivo / Subjuntivo,Futuro Composto,tiverem sido
eu,Condicional,Futuro do Pretérito Simples,seria
ele/ela/você,Condicional,Futuro do Pretérito Simples,seria
nós,Condicional,Futuro do Pretérito Simples,seríamos
eles/elas/vocês,Condicional,Futuro do Pretérito Simples,seriam
eu,Condicional,Futuro do Pretérito Composto,teria sido
ele/ela/você,Condicional,Futuro do Pretérito Composto,teria sido
nós,Condicional,Futuro do Pretérito Composto,teríamos sido
eles/elas/vocês,Condicional,Futuro do Pretérito Composto,teriam sido
